UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
buildings39                   Sobel Y             2.00           OK        
buildings40                   Sobel Y             3.00           OK        
buildings41                   Sobel Y             2.00           OK        
buildings42                   Sobel Y             3.00           OK        
buildings43                   Sobel Y             3.00           OK        
buildings44                   Sobel Y             2.00           OK        
buildings45                   Sobel Y             2.00           OK        
buildings46                   Sobel Y             2.00           OK        
buildings47                   Sobel Y             2.00           OK        
buildings48                   Sobel Y             2.00           OK        
buildings49                   Sobel Y             2.00           OK        
buildings50                   Sobel Y             2.00           OK        
buildings51                   Sobel Y             2.00           OK        
buildings52                   Sobel Y             2.00           OK        
buildings53                   Sobel Y             2.00           OK        
buildings54                   Sobel Y             2.00           OK        
buildings55                   Sobel Y             2.00           OK        
buildings56                   Sobel Y             2.00           OK        
buildings57                   Sobel Y             2.00           OK        
buildings58                   Sobel Y             2.00           OK        
buildings59                   Sobel Y             3.00           OK        
buildings60                   Sobel Y             2.00           OK        
buildings61                   Sobel Y             3.00           OK        
buildings62                   Sobel Y             2.00           OK        
buildings63                   Sobel Y             2.00           OK        
buildings64                   Sobel Y             2.00           OK        
buildings65                   Sobel Y             2.00           OK        
buildings66                   Sobel Y             2.00           OK        
buildings67                   Sobel Y             2.00           OK        
buildings68                   Sobel Y             2.00           OK        
buildings69                   Sobel Y             2.00           OK        
buildings70                   Sobel Y             2.00           OK        
buildings71                   Sobel Y             2.00           OK        
buildings72                   Sobel Y             2.00           OK        
buildings73                   Sobel Y             2.00           OK        
buildings74                   Sobel Y             2.00           OK        
buildings75                   Sobel Y             2.00           OK        
buildings76                   Sobel Y             2.00           OK        
buildings77                   Sobel Y             2.00           OK        
buildings78                   Sobel Y             2.00           OK        
buildings79                   Sobel Y             2.00           OK        
buildings80                   Sobel Y             2.00           OK        
buildings81                   Sobel Y             2.00           OK        
buildings82                   Sobel Y             2.00           OK        
buildings83                   Sobel Y             2.00           OK        
buildings84                   Sobel Y             2.00           OK        
buildings85                   Sobel Y             2.00           OK        
buildings86                   Sobel Y             2.00           OK        
buildings87                   Sobel Y             2.00           OK        
buildings88                   Sobel Y             2.00           OK        
buildings89                   Sobel Y             2.00           OK        
buildings90                   Sobel Y             2.00           OK        
buildings91                   Sobel Y             2.00           OK        
buildings92                   Sobel Y             2.00           OK        
buildings93                   Sobel Y             2.00           OK        
buildings94                   Sobel Y             2.00           OK        
buildings95                   Sobel Y             2.00           OK        
buildings96                   Sobel Y             2.00           OK        
buildings97                   Sobel Y             2.00           OK        
buildings98                   Sobel Y             3.00           OK        
buildings99                   Sobel Y             2.00           OK        
buildings00                   Sobel Magnitude     17.00          OK        
buildings01                   Sobel Magnitude     14.00          OK        
buildings02                   Sobel Magnitude     18.00          OK        
buildings03                   Sobel Magnitude     12.00          OK        
buildings04                   Sobel Magnitude     13.00          OK        
buildings05                   Sobel Magnitude     18.00          OK        
buildings06                   Sobel Magnitude     13.00          OK        
buildings07                   Sobel Magnitude     13.00          OK        
